Chip Run Info;E:\Helene-Adam-Riz-96x96-270317\jordan file\ChipRun.bml;1362290083;96.96 (136x);GE 96x96 Fast PCR+Melt v2;ROX;EvaGreen;28/03/2017 14:02:44;00:31:21;BIOMARKHD267
Application Version;4.1.3
Application Build;20140305.1515
Export Type;Table Results
Quality Threshold;0,65
Baseline Correction Method;Linear (Derivative)
Ct Threshold Method;Auto (Global)


Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;User
Chamber;Sample;Sample;Sample;EvaGreen;EvaGreen;Ct;Ct;Ct;Ct;Ct;Tm;Tm;Tm;Defined
ID;Name;Type;rConc;Name;Type;Value;Calibrated rConc;Quality;Call;Threshold;In Range;Out Range;Peak Ratio;Comments
S11-A96;J-N4R2;Unknown;250;normalizer2;Reference;12,2960382021419;160,791545257708;1;Pass;0,0102099395112248;81,8526460077602;999;1;
S11-A95;J-N4R2;Unknown;250;normalizer3;Reference;7,24577917421822;124,564318592811;1;Pass;0,0102099395112248;79,9173437216407;999;1;
S11-A93;J-N4R2;Unknown;250;normalizer1bis;Reference;3,99984365698449;201,002665541169;0,666614552328162;Pass;0,0102099395112248;79,9635969839403;999;1;
S11-A91;J-N4R2;Unknown;250;gene3;Test;9,7776769580727;249,329730580582;1;Pass;0,0102099395112248;85,2136142831186;999;1;
S88-A01;I -Mix 1/160;Standard;1,56;normalizer1;Reference;11,4221079265754;1,31801844550843;0,989150507714901;Pass;0,0102099395112248;80,0609849110721;999;1;
S88-A22;I -Mix 1/160;Standard;1,56;gene1;Test;20,842418997825;0,310196554497215;1;Pass;0,0102099395112248;82,3931900594898;999;1;
S88-A29;I -Mix 1/160;Standard;1,56;gene4;Test;18,6876851128641;3,11179693468469;1;Pass;0,0102099395112248;77,2425017871289;999;1;
S88-A67;I -Mix 1/160;Standard;1,56;gene2;Test;17,0848496402419;2,50281100642732;0,968259170323317;Pass;0,0102099395112248;80,4107570972013;999;1;
S88-A96;I -Mix 1/160;Standard;1,56;normalizer2;Reference;20,0429595335372;2,69352875001012;1;Pass;0,0102099395112248;81,7567402463108;999;1;
S88-A95;I -Mix 1/160;Standard;1,56;normalizer3;Reference;13,8529537638013;1,82175814071619;1;Pass;0,0102099395112248;79,8881620373672;999;1;
S88-A93;I -Mix 1/160;Standard;1,56;normalizer1bis;Reference;11,241812926701;1,40527943848574;0,959387203515962;Pass;0,0102099395112248;79,9717832416954;999;1;
S88-A91;I -Mix 1/160;Standard;1,56;gene3;Test;18,2647976208517;2,10907313598256;1;Pass;0,0102099395112248;85,1656104251855;999;1;
S10-A01;J-N4R1;Unknown;250;normalizer1;Reference;3,72209187165578;235,119160288838;0,574030623885259;Fail;0,0102099395112248;80,0342891601839;999;1;
S10-A22;J-N4R1;Unknown;250;gene1;Test;7,67021375221423;4179,59161644178;1;Pass;0,0102099395112248;82,38273221233;999;1;
S10-A29;J-N4R1;Unknown;250;gene4;Test;9,67232161560837;770,424407781197;1;Pass;0,0102099395112248;77,135602714112;999;1;
S10-A67;J-N4R1;Unknown;250;gene2;Test;9,40178122997103;299,589096839522;1;Pass;0,0102099395112248;80,7158442177437;999;1;
S10-A96;J-N4R1;Unknown;250;normalizer2;Reference;11,2348979064527;281,529640673223;1;Pass;0,0102099395112248;81,9365809662148;999;1;
S10-A95;J-N4R1;Unknown;250;normalizer3;Reference;6,43147351736346;209,670580672163;1;Pass;0,0102099395112248;79,9127915789097;999;1;
S10-A93;J-N4R1;Unknown;250;normalizer1bis;Reference;3,42567498658224;297,915139986685;0,475224995527413;Fail;0,0102099395112248;79,9542579360985;999;1;
S10-A91;J-N4R1;Unknown;250;gene3;Test;8,87093056265481;415,159677539162;1;Pass;0,0102099395112248;85,1979294891433;999;1;
S87-A01;I -Mix 1/80;Standard;3,12;normalizer1;Reference;10,4608433057275;2,51756395654464;1;Pass;0,0102099395112248;80,0537220507052;999;1;
S87-A22;I -Mix 1/80;Standard;3,12;gene1;Test;19,1627730249312;1,04281513445515;1;Pass;0,0102099395112248;82,2770659973203;999;1;
S87-A29;I -Mix 1/80;Standard;3,12;gene4;Test;18,5009121128823;3,48820801715283;1;Pass;0,0102099395112248;77,1643895503325;999;1;
S87-A67;I -Mix 1/80;Standard;3,12;gene2;Test;17,081246751767;2,50843329611194;0,975821674138512;Pass;0,0102099395112248;80,4227653209113;999;1;
S87-A96;I -Mix 1/80;Standard;3,12;normalizer2;Reference;19,7253817485983;3,18511177703296;1;Pass;0,0102099395112248;81,2974084135907;999;1;
S87-A95;I -Mix 1/80;Standard;3,12;normalizer3;Reference;12,8584192870166;3,44101506204665;1;Pass;0,0102099395112248;79,9153185107267;999;1;
S87-A93;I -Mix 1/80;Standard;3,12;normalizer1bis;Reference;10,4376496425158;2,4384121950941;1;Pass;0,0102099395112248;79,9477388744446;999;1;
S87-A91;I -Mix 1/80;Standard;3,12;gene3;Test;17,4501665229961;3,33454665362959;1;Pass;0,0102099395112248;85,1672009724949;999;1;
S09-A01;J-N3R3;Unknown;250;normalizer1;Reference;3,70975648119387;237,079881173079;0,569918827064623;Fail;0,0102099395112248;80,0410525762123;999;1;
S09-A22;J-N3R3;Unknown;250;gene1;Test;6,41691297253385;10328,6758087061;1;Pass;0,0102099395112248;82,4033380528707;999;1;
